"Connection" "Agyneta_fuscipalpa" "Agyneta_mollis" "Agyneta_rurestris" "Agyneta_simplicitarsis" "Alopecosa_pulverulenta" "Antistea_elegans" "Arctosa_cinerea" "Arctosa_leopardus" "Arctosa_similis" "Argenna_subnigra" "Asagena_italica" "Attulus_saltator" "Aulonia_albimana" "Cozyptila_blackwalli" "Drassodes_lapidosus" "Drassyllus_praeficus" "Drassyllus_pusillus" "Enoplognatha_thoracica" "Erigone_autumnalis" "Erigone_dentipalpis" "Gnathonarium_dentatum" "Haplodrassus_dalmatensis" "Heliophanus_flavipes" "Hogna_radiata" "Mermessus_trilobatus" "Micaria_albovittata" "Micaria_coarctata" "Micaria_formicaria" "Micaria_pulicaria" "Microlinyphia_pusilla" "Nurscia_albomaculata" "Oecobius_cellariorum" "Ozyptila_simplex" "Pachygnatha_degeeri" "Pardosa_agrestis" "Pardosa_hortensis" "Pardosa_mixta" "Pardosa_palustris" "Pardosa_prativaga" "Pardosa_proxima" "Pardosa_tenuipes" "Pardosa_vittata" "Pelecopsis_parallela" "Phlegra_fasciata" "Phrurolithus_festivus" "Pisaura_mirabilis" "Prinerigone_vagans" "Talavera_aequipes" "Tegenariahasperi" "Tenuiphantes_tenuis" "Thanatus_arenarius" "Titanoeca_tristis" "Tmarus_staintoni" "Trichoncus_affinis" "Trichopterna_cito" "Trochosa_hispanica" "Trochosa_ruricola" "Xerolycosa_nemoralis" "Xysticus_kochi" "Zelotes_atrocaeruleus" "Zelotes_electus" "Zelotes_hermani" "Zelotes_longipes" "Zelotes_tenuis" "Zodarion_rubidum" "Zora_spinimana"
"C02_20170606" "Connected" 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 2 1 0 1 0 0 8 0 0 0 0 0 7 0 3 0 0 0 0 0 0 0
"C03_20170606" "Connected" 11 0 5 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 3 2 0 0 0 0 0 1 0
"C04_20170606" "Connected" 0 0 0 0 1 0 0 0 1 0 12 0 0 3 0 0 0 0 2 0 0 1 0 13 0 0 0 0 0 0 0 0 0 3 4 40 0 0 0 39 0 0 0 0 0 0 0 0 1 0 4 1 0 0 0 0 0 19 4 0 0 0 0 0 0 0
"C05_20170606" "Connected" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C06_20170606" "Connected" 2 0 3 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 5 0 0 0 0 0 0 0 0 2 0 0 0 0 8 0 0 0 0 0 9 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 2 10 1 0 0 0 0 0 0 0 0
"C07_20170606" "Connected" 0 1 1 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 11 0 0 0 0 0 1 0 0 0
"C08_20170606" "Connected" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 0 0 0 0 0 0 0 0
"C09_20170606" "Connected" 0 0 0 0 11 1 0 0 0 13 0 0 1 0 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 3 8 0 0 0 0 2 4 0 15 4 0 1 1 90 1
"C10_20170606" "Connected" 0 0 0 0 7 0 0 13 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 17 0 1 0 0 0 0 0 0 0
"C12_20170606" "Connected" 0 0 2 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 4 0 0 0 0 0 1 0
"C13_20170606" "Connected" 0 0 2 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 4 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 4 0 0 0 0 0 0 0
"C14_20170606" "Connected" 0 0 1 0 0 0 0 0 0 0 6 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"C15_20170606" "Connected" 1 0 0 0 0 0 0 0 7 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0
"S01_20170627" "Isolated" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"S02_20170627" "Isolated" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
"S03_20170627" "Isolated" 12 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 91 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0
"S04_20170627" "Isolated" 0 0 3 0 1 0 0 0 0 0 6 0 0 0 0 0 0 0 2 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0
"S05_20170627" "Isolated" 3 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"S06_20170627" "Isolated" 0 0 0 0 0 0 0 0 0 0 4 0 0 1 0 0 0 0 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0
"S07_20170627" "Isolated" 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 2 0
"S08_20170627" "Isolated" 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"S09_20170627" "Isolated" 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 5 0 0 0 0 0 0 0 0
"S10_20170627" "Isolated" 4 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 9 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 6 2 0 0 0 0 0 0 0
"S11_20170627" "Isolated" 3 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 9 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"S12_20170627" "Isolated" 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0
"S13_20170627" "Isolated" 1 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 6 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"S14_20170627" "Isolated" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
